ResponseId,Game,u_GameGenre,GameGenre,Movie,u_MovieGenre,MovieGenre
R_D5XK5GVyb2VbmhP,Counter Strike: Go,It''s an fps game.,FPS,"I just finished seeing ""The Boys"" on amazon.",Its sci-fi and comic.,action/sh
R_1E6w3aty8GCVea1,Luigi's Mansion /Dark Moon,"""Cartoon"" adventure/puzzles",Action,Poirot,Television - detective series,crime
R_3EGQOokkMmpLrZg,A game that I have been playing recently is World Of Warcraft,It is an MMORPG.,RPG,The mighty Ducks,comedy/family,comedy
R_21FcOaO3mt8NJdu,Pokemon,role playing,RPG,The tv series Weeds,comedy / drama,comedy
R_2dZv4gJ3MBJ51to,PlayerUnknown's Battlegrounds,Battle,FPS,Fast & Furious Presents: Hobbs & Shaw,"Action, thriller",action
R_1qUQtAwcr36ag9v,Devil Survivor 2: Record Breaker,Strategy RPG,RPG,NCIS,Crime drama / police procedural,crime
R_4YnVfFkBB3UFIcN,Destiny 2,"FPS MMO (First Person Shooter, Massively Multiplayer Online)",FPS,Quantum Leap,Science-fiction drama,sci fi
R_2zMw9I9BcIlKHKr,Call of Duty,Action/War,FPS,Peaky Blinders,"Crime, Drama",crime
R_1LjeV9JCjfXqhGN,Smash Bros Ultimate,Fighting,Sports,Naruto,Action/Adventure,action
R_1pLIszddTcL9MRV,Jurassic World,Simulation Video Game,Strategy,Handmaid's Tale,SciFi/Drama,drama
R_xf4RAR3yFJcKeC5,Mario Cart,Action/Racing,Sports,I recently watched Annabelle comes home,Horror,horror
R_2eWGwrZocNlRJFd,The most recent game I played was a few hours ago and it was the Stranger Things 3 game.,"action/adventure, RPG, retro",Action,Mom,comedy/sitcom,comedy
R_114Uij45do4BffS,Fallout 4,Open world action role playing game,RPG,Deadpool 2,"comic book, action, comedy",action/sh
R_2cwijETGzTdcizs,BTS world,visual novel,Strategy,small foot,"animation, fantasy, adventure",fantasy
R_wY22ORALDtI7Oa5,This game is called Counter-Strike: Global Offensive and I play it on PC.,It is a First Person Shooter.,FPS,The show is called Criminal Minds. It is a show that keeps me on the edge of my seat every time.,American Drama,crime
R_2co84Tdt4mTikkR,Tekken 7,Fighting game,Sports,Game of Thrones,"Action, Drama.",fantasy
R_3eadzUtsc5bXFF1,Apex Legends,First Person Shooter,FPS,Mayans M.C.,Action,crime
R_23Q7DyegoZqvr7X,World of Warcraft,MMORPG - Fantasy Science Fiction,RPG,Game of Thrones,Fantasy Science Fiction,fantasy
R_2TLhFydz8Y8xgcQ,Dead by Daylight,Asymmetrical Co-Op Survival Horror,Action,NCIS,Procedural Crime Drama,crime
R_3EFEmcoZnVbFqn7,MLB The show 18,Sports,Sports,Stranger Things,"Mystery, Drama, Thriller",fantasy/horror
R_3DdRyoz7JhkwfXQ,Homescapes,Puzzle,Puzzle,Rachel Maddow,Politics,current affairs
R_uvJdijyKhJbhFcd,I play Forge of Empires quite a bit. Its a strategy game where you build an empire and live in a story.,"It is a city building, or strategy type of game",Strategy,Ozark,Gritty suspense drama,drama
R_3m7TFbWCTHsS6Nr,League of Legends,MOBA,MOBA,The good place,Comedy,comedy
R_1mWArNNN8fWHr4J,I recently replayed a game I loved as a child called Golden Sun The Lost Age.,It is a role-playing game.,RPG,One movie that I saw recently that I really enjoyed was Event Horizon.,It is cosmic horror.,horror
R_3L6DoalB2kAlI7o,The game that I enjoy playing and have played recently is GTA V.,Action-adventure game,Action,The movie Twilight.,"Young Adult, Romance, and Fantasy.",fantasy/horror
